,C_CUSTKEY,C_NAME,C_ADDRESS,C_NATIONKEY,C_PHONE,C_ACCTBAL,C_MKTSEGMENT,C_COMMENT,O_ORDERKEY,O_CUSTKEY,O_ORDERSTATUS,O_TOTALPRICE,O_ORDERDATE,O_ORDERPRIORITY,O_CLERK,O_SHIPPRIORITY,O_COMMENT,L_ORDERKEY,L_PARTKEY,L_SUPPKEY,L_LINENUMBER,L_QUANTITY,L_EXTENDEDPRICE,L_DISCOUNT,L_TAX,L_RETURNFLAG,L_LINESTATUS,L_SHIPDATE,L_COMMITDATE,L_RECEIPTDATE,L_SHIPINSTRUCT,L_SHIPMODE,L_COMMENT
0,2,Customer#000000002,"XSTf4,NCwDVaWNe6tEgvwfmRchLXak",13,23-768-687-3665,121.65,AUTOMOBILE,l accounts. blithely ironic theodolites integrate boldly: caref,44962,2,F,45657.87,1994-12-29,3-MEDIUM,Clerk#000000895,0,ideas. carefully ironic theodolite,44962,598,29,1,3.00,4495.77,0.03,0.07,A,F,1995-03-25,1995-03-14,1995-04-19,DELIVER IN PERSON,TRUCK,packages cajole fluffil
1,7,Customer#000000007,TcGe5gaZNgVePxU5kRrvXBfkasDTea,18,28-190-982-9759,9561.95,AUTOMOBILE,"ainst the ironic, express theodolites. express, even pinto beans among the exp",35844,7,F,86552.46,1994-12-07,5-LOW,Clerk#000000503,0,kly final pinto beans above the special requests sleep blithely bo,35844,684,85,1,41.00,64971.88,0.09,0.03,A,F,1995-03-30,1995-01-17,1995-04-01,DELIVER IN PERSON,RAIL,about the blithe
2,44,Customer#000000044,"Oi,dOSPwDu4jo4x,,P85E0dmhZGvNtBwi",16,26-190-260-5375,7315.94,AUTOMOBILE,"r requests around the unusual, bold a",55072,44,F,61221.47,1995-01-05,4-NOT SPECIFIED,Clerk#000000903,0,express packages. packages around the accounts boost q,55072,1006,7,2,2.00,1814.00,0.00,0.08,R,F,1995-05-04,1995-02-25,1995-05-23,NONE,RAIL,al instructions. theodol
3,46,Customer#000000046,eaTXWWm10L9,6,16-357-681-2007,5744.59,AUTOMOBILE,"ctions. accounts sleep furiously even requests. regular, regular accounts cajole blithely around the final pa",52578,46,P,180037.03,1995-03-08,1-URGENT,Clerk#000000639,0,r deposits. slyly ironic requests nag. careful,52578,1445,63,1,29.00,39046.76,0.03,0.07,A,F,1995-03-17,1995-05-10,1995-03-18,TAKE BACK RETURN,RAIL,refully express theodolites w
4,46,Customer#000000046,eaTXWWm10L9,6,16-357-681-2007,5744.59,AUTOMOBILE,"ctions. accounts sleep furiously even requests. regular, regular accounts cajole blithely around the final pa",52578,46,P,180037.03,1995-03-08,1-URGENT,Clerk#000000639,0,r deposits. slyly ironic requests nag. careful,52578,508,9,2,35.00,49297.50,0.00,0.00,R,F,1995-03-21,1995-06-05,1995-03-28,COLLECT COD,FOB,"s wake quickly. ironic, final a"
5,46,Customer#000000046,eaTXWWm10L9,6,16-357-681-2007,5744.59,AUTOMOBILE,"ctions. accounts sleep furiously even requests. regular, regular accounts cajole blithely around the final pa",52578,46,P,180037.03,1995-03-08,1-URGENT,Clerk#000000639,0,r deposits. slyly ironic requests nag. careful,52578,819,20,3,10.00,17198.10,0.10,0.05,R,F,1995-04-22,1995-06-05,1995-05-11,NONE,AIR,thely even pinto beans wake a
6,46,Customer#000000046,eaTXWWm10L9,6,16-357-681-2007,5744.59,AUTOMOBILE,"ctions. accounts sleep furiously even requests. regular, regular accounts cajole blithely around the final pa",52578,46,P,180037.03,1995-03-08,1-URGENT,Clerk#000000639,0,r deposits. slyly ironic requests nag. careful,52578,277,32,4,16.00,18836.32,0.01,0.02,N,O,1995-06-25,1995-05-29,1995-06-26,COLLECT COD,RAIL,furiously final idea
7,88,Customer#000000088,wtkjBN9eyrFuENSMmMFlJ3e7jE5KXcg,16,26-516-273-2566,8031.44,AUTOMOBILE,s are quickly above the quickly ironic instructions; even requests about the carefully final deposi,39076,88,F,152274.27,1994-12-12,1-URGENT,Clerk#000000204,0,? blithely even theodolites cajole along th,39076,435,23,3,6.00,8012.58,0.04,0.07,A,F,1995-03-23,1995-03-09,1995-04-12,DELIVER IN PERSON,REG AIR,dle excuses integrate furiously bold reques
8,88,Customer#000000088,wtkjBN9eyrFuENSMmMFlJ3e7jE5KXcg,16,26-516-273-2566,8031.44,AUTOMOBILE,s are quickly above the quickly ironic instructions; even requests about the carefully final deposi,46116,88,F,223894.83,1995-01-08,1-URGENT,Clerk#000000980,0,ending ideas haggle slyly. depende,46116,1979,80,2,15.00,28214.55,0.07,0.03,A,F,1995-04-30,1995-03-28,1995-05-17,NONE,REG AIR, slyly ruthle
9,88,Customer#000000088,wtkjBN9eyrFuENSMmMFlJ3e7jE5KXcg,16,26-516-273-2566,8031.44,AUTOMOBILE,s are quickly above the quickly ironic instructions; even requests about the carefully final deposi,46116,88,F,223894.83,1995-01-08,1-URGENT,Clerk#000000980,0,ending ideas haggle slyly. depende,46116,1056,92,3,6.00,5742.30,0.06,0.07,R,F,1995-04-26,1995-03-23,1995-05-09,NONE,REG AIR,"r pinto beans. ironic, unusual accounts w"
